org,id,login,avatar_url,type
mozilla,98339,"nwgh",https://avatars.githubusercontent.com/u/98339?v=3,User
mozilla,199907,"ochameau",https://avatars.githubusercontent.com/u/199907?v=3,User
mozilla,493662,"omarnoory",https://avatars.githubusercontent.com/u/493662?v=3,User
mozilla,45590,"oremj",https://avatars.githubusercontent.com/u/45590?v=3,User
mozilla,193106,"Osmose",https://avatars.githubusercontent.com/u/193106?v=3,User
mozilla,18924,"ozten",https://avatars.githubusercontent.com/u/18924?v=3,User
mozilla,454375,"pascalchevrel",https://avatars.githubusercontent.com/u/454375?v=3,User
mozilla,373579,"paulrouget",https://avatars.githubusercontent.com/u/373579?v=3,User
mozilla,157897,"pcwalton",https://avatars.githubusercontent.com/u/157897?v=3,User
mozilla,190790,"petemoore",https://avatars.githubusercontent.com/u/190790?v=3,User
mozilla,64367,"philbooth",https://avatars.githubusercontent.com/u/64367?v=3,User
mozilla,54918,"philikon",https://avatars.githubusercontent.com/u/54918?v=3,User
mozilla,43494,"Pike",https://avatars.githubusercontent.com/u/43494?v=3,User
mozilla,19934,"pmclanahan",https://avatars.githubusercontent.com/u/19934?v=3,User
mozilla,1319028,"poiru",https://avatars.githubusercontent.com/u/1319028?v=3,User
